# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 363K of event 'cpu/cycles/Pu'
# Event count (approx.): 1395435036785
#
# Overhead  Symbol                                                                                                                                                                                                                                                                                                                                                     IPC   [IPC Coverage]
# ........  .........................................................................................................................................................................................................................................................................................................................................................  ....................
#
    61.07%  [.] neat::Genome::runNetwork(float (*)(float))                                                                                                                                                                                                                                                                                                             -      -            
    19.38%  [.] neat::Population::crossover(bool)                                                                                                                                                                                                                                                                                                                      -      -            
    16.16%  [.] neat::Population::compareGenomes(int, int, float, float, float)                                                                                                                                                                                                                                                                                        -      -            
     0.85%  [.] neat::Genome::loadInputs(float*)                                                                                                                                                                                                                                                                                                                       -      -            
     0.56%  [.] processFn(float*, float*, void*)                                                                                                                                                                                                                                                                                                                       -      -            
     0.48%  [.] activationFn(float)                                                                                                                                                                                                                                                                                                                                    -      -            
     0.20%  [.] neat::Genome::Genome(int, int, int, float, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >*, int*, float)                                                                                                                                                                                -      -            
     0.19%  [.] neat::Genome::getOutputs(float*)                                                                                                                                                                                                                                                                                                                       -      -            
     0.11%  [.] 0x0000000000092b39                                                                                                                                                                                                                                                                                                                                     -      -            
     0.10%  [.] random_r                                                                                                                                                                                                                                                                                                                                               -      -            
     0.10%  [.] random                                                                                                                                                                                                                                                                                                                                                 -      -            
     0.10%  [.] rand@plt                                                                                                                                                                                                                                                                                                                                               -      -            
     0.09%  [.] 0x0000000000092b5d                                                                                                                                                                                                                                                                                                                                     -      -            
     0.07%  [.] 0x0000000000092b15                                                                                                                                                                                                                                                                                                                                     -      -            
     0.04%  [.] 0x0000000000092ae2                                                                                                                                                                                                                                                                                                                                     -      -            
     0.04%  [.] neat::Population::runNetworkAuto(float (*)(float*, float*, void*), void*, void (*)(float*, void*), float (*)(float), int, float, int)                                                                                                                                                                                                                  -      -            
     0.03%  [.] expf@plt                                                                                                                                                                                                                                                                                                                                               -      -            
     0.03%  [.] neat::Genome::getInnovId(std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >*, int*, int, int)                                                                                                                                                                                               -      -            
     0.03%  [.] 0x0000000000092b2d                                                                                                                                                                                                                                                                                                                                     -      -            
     0.03%  [.] rand                                                                                                                                                                                                                                                                                                                                                   -      -            
     0.02%  [.] 0x0000000000092b1a                                                                                                                                                                                                                                                                                                                                     -      -            
     0.01%  [.] 0x0000000000092add                                                                                                                                                                                                                                                                                                                                     -      -            
     0.01%  [.] 0x0000000000092b61                                                                                                                                                                                                                                                                                                                                     -      -            
     0.01%  [.] 0x00000000001765bb                                                                                                                                                                                                                                                                                                                                     -      -            
     0.01%  [.] 0x00000000001765c5                                                                                                                                                                                                                                                                                                                                     -      -            
     0.01%  [.] 0x00000000001765b3                                                                                                                                                                                                                                                                                                                                     -      -            
     0.01%  [.] 0x00000000001765a4                                                                                                                                                                                                                                                                                                                                     -      -            
     0.01%  [k] 0xffffffffad162928                                                                                                                                                                                                                                                                                                                                     -      -            
     0.01%  [.] random_r                                                                                                                                                                                                                                                                                                                                               -      -            
     0.01%  [.] 0x00000000001765a9                                                                                                                                                                                                                                                                                                                                     -      -            
     0.01%  [.] 0x00000000001765ca                                                                                                                                                                                                                                                                                                                                     -      -            
     0.01%  [.] 0x00000000001765ae                                                                                                                                                                                                                                                                                                                                     -      -            
     0.01%  [.] 0x0000000000092b59                                                                                                                                                                                                                                                                                                                                     -      -            
     0.01%  [.] 0x0000000000092ae7                                                                                                                                                                                                                                                                                                                                     -      -            
     0.01%  [.] random                                                                                                                                                                                                                                                                                                                                                 -      -            
     0.01%  [.] 0x00000000001765c0                                                                                                                                                                                                                                                                                                                                     -      -            
     0.01%  [.] 0x0000000000092ad8                                                                                                                                                                                                                                                                                                                                     -      -            
     0.01%  [.] neat::Genome::mutateWeights(float, float)                                                                                                                                                                                                                                                                                                              -      -            
     0.01%  [.] neat::Connection::Connection(int, int, int, float, bool, bool)                                                                                                                                                                                                                                                                                         -      -            
